,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
1090,EUU,33328.7719857616,11.1955099105835,9.92797482117321,,80.1657773209271,2012,,,
1091,EUU,34808.0025773528,11.4398002624512,9.98630846369403,,80.4734324600181,2013,,,
1092,EUU,35592.887487554,11.5191698074341,10.0074945151646,,80.8761653859288,2014,,,
1093,EUU,30769.090644109,11.5371503829956,9.95794688978061,,80.5708966220669,2015,,,
1094,EUU,31462.4341209885,12.0882301330567,9.95037914978453,,80.9530808081627,2016,,,
1095,EUU,33391.9679020533,11.0439596176147,9.8978413703562,,80.9303097853099,2017,,,
1096,EUU,36054.3954466385,11.0197949409485,9.87397794431498,,81.0317510064821,2018,,,
1097,EUU,35374.6443827131,11.1711702346802,9.93824507629029,,81.3194524901834,2019,,,
1098,EUU,34698.4032089427,10.7094945907593,10.8635020267304,,80.4414754678551,2020,,,
1099,EUU,39214.3660784805,10.6486701965332,10.8699478690085,,80.3071964400875,2021,,,
1100,EUU,37962.8295010744,10.6917295455933,10.3657237718615,,80.7129818383208,2022,,,
1101,EUU,41392.0743803078,,,,81.4114503796876,2023,,,
1102,EUU,43145.1566930223,,,,,2024,,,
1103,FCS,2014.90119741003,16.3383646011353,4.25743249505965,,59.3431607628088,2010,,,
1104,FCS,2053.09769693024,13.4843196868897,4.18745686132669,,59.627635588706,2011,,,
1105,FCS,2242.84085219764,14.8580098152161,4.19527601142811,,60.1008402450513,2012,,,
1106,FCS,2273.27217471253,14.7248982435275,4.34852996795256,,60.4548394321653,2013,,,
1107,FCS,2355.76885087242,14.1246004104614,4.30363848571546,,60.5536917998503,2014,,,
1108,FCS,1815.53207965872,13.243989944458,4.53219807696183,,60.7449931085508,2015,,,
1109,FCS,1635.50703091345,12.9639296531677,4.86144213921573,,60.9861836667017,2016,,,
